galaxy,filename,obsdate,new/archive/survey,telescope,instrument,spectype,vac/air,total_exp(s),PA(deg),RA,Dec,cz(km/s),-d_cz,+d_cz,heliocorr,Dn4000,d_Dn4000,EW_Oii3727,dEW_Oii3727,F_Oii3727,dF_Oii3727,EW_Neiii3870,dEW_Neiii3870,F_Neiii3870,dF_Neiii3870,EW_Sii4069,dEW_Sii4069,F_Sii4069,dF_Sii4069,EW_Hd4102,dEW_Hd4102,F_Hd4102,dF_Hd4102,EW_Hg4340,dEW_Hg4340,F_Hg4340,dF_Hg4340,EW_Oiii4363,dEW_Oiii4363,F_Oiii4363,dF_Oiii4363,EW_Hb4861,dEW_Hb4861,F_Hb4861,dF_Hb4861,EW_Oiii4960,dEW_Oiii4960,F_Oiii4960,dF_Oiii4960,EW_Oiii5007,dEW_Oiii5007,F_Oiii5007,dF_Oiii5007,EW_Nii5756,dEW_Nii5756,F_Nii5756,dF_Nii5756,EW_Nii6549,dEW_Nii6549,F_Nii6549,dF_Nii6549,EW_Ha6563,dEW_Ha6563,F_Ha6563,dF_Ha6563,EW_Nii6584,dEW_Nii6584,F_Nii6584,dF_Nii6584,EW_Sii6717,dEW_Sii6717,F_Sii6717,dF_Sii6717,EW_Sii6731,dEW_Sii6731,F_Sii6731,dF_Sii6731,EW_Oii7320,dEW_Oii7320,F_Oii7320,dF_Oii7320,EW_Oii7330,dEW_Oii7330,F_Oii7330,dFOii7330,R2,dR2,R3,dR3,O32,dO32,R23,dR23,N2,dN2,O3N2,dO3N2,logsSFR_Ha,12+log(O/H) - Curti+17,d12+log(O/H) - Curti+17,12+log(O/H),d12+log(O/H),ulim_12+log(O/H),logZ/Zsun,-dlogZ/Zsun,+dlogZ/Zsun,age_SSP(Gyr),age_mass(Gyr),-d_agemass,+d_agemass,SFH morphology,Notes
UGC75,ugc75_imacsf4.txt,2022-11-15,new,Magellan,IMACS f/4,longslit - 2.5”,air,3600,202.0,00:08:46.23,+15:49:01.0,897,97,138,-20.4,1.126,0.004,14.5,0.3,6.3E-14,1E-15,2.0,0.1,1.31E-14,9E-16,0.8,0.1,5.4E-15,7E-16,-1.51,0.07,-1.04E-14,5E-16,-2.5,0.1,-1.68E-14,7E-16,1.01,0.07,6.8E-15,4E-16,—,—,—,—,2.04,0.03,1.37E-14,2E-16,6.34,0.05,4.25E-14,2E-16,0.04,0.02,3E-16,1E-16,0.27,0.02,1.4E-15,1E-16,18.56,0.08,9.94E-14,2E-16,2.75,0.03,1.47E-14,1E-16,3.27,0.03,1.74E-14,1E-16,4.05,0.03,2.15E-14,2E-16,0.19,0.02,8E-16,1E-16,0.75,0.04,3.4E-15,2E-16,—,—,—,—,0.6746,0.0112,—,—,0.1479,0.0010,—,—,-10.1955,8.50,0.17,8.37,0.18,FALSE,-1.45,0.06,0.05,3.55,6.47,0.38,0.35,Sustained,Hb in chip gap. Hd + Hg may be weakly detected in emission.
PGC4143,pgc4143_imacsf4.txt,2022-11-16,new,Magellan,IMACS f/4,longslit - 2.5”,air,2400,167.0,01:09:41.46,-02:15:59.3,1788.5,128.9,109.3,-18,1.17,0.01,14.0,0.8,1.62E-14,8E-16,1.4,0.3,2.1E-15,5E-16,—,—,—,—,—,—,—,—,-3.9,0.4,-6.2E-15,7E-16,1.3,0.3,2.1E-15,5E-16,—,—,—,—,1.20,0.08,2.2E-15,1E-16,2.92,0.08,5.2E-15,1E-16,-0.28,0.06,-5E-16,1E-16,0.25,0.03,4.1E-16,6E-17,9.25,0.08,1.53E-14,1E-16,1.51,0.07,2.5E-15,1E-16,3.01,0.07,5.0E-15,1E-16,2.30,0.07,3.8E-15,1E-16,—,—,—,—,—,—,—,—,—,—,—,—,0.3210,0.0170,—,—,0.1634,0.0066,—,—,-10.5947,8.57,0.17,8.40,0.18,FALSE,-0.953,0.003,0.010,7.08,8.57,0.06,0.05,Bursty,Hb in chip gap. Hd + Hg may be weakly detected in emission. CSP continuum shape ~Sii4069 and Hd imperfect match to data so region excluded.
UGCA285,ugca285_lris.txt,2016-01-09,archive,Keck,LRIS,longslit - 1”,vac,600,31.2,12:33:08.5,-00:31:55,725,12,15,29.4,0.74,0.05,27,7,1.5E-14,3E-15,—,—,—,—,—,—,—,—,—,—,—,—,1,3,7E-16,1.8E-15,-3,3,-2E-15,2E-15,0.5,1.7,3E-16,1.0E-15,—,—,—,—,2,3,9E-16,1.8E-15,1.0,0.2,6.286E-16,0,1.4,0.3,8E-16,2E-16,23,2,1.34E-14,6E-16,6.9,0.3,4.1E-15,4E-16,26,2,1.55E-14,7E-16,20,1,1.19E-14,4E-16,—,—,—,—,—,—,—,—,50.0000,166.9664,3.0000,11.6619,0.0600,0.1206,—,—,0.3060,0.0328,9.8049,38.1290,-10.0725,8.53,0.15,8.62,0.19,FALSE,-0.07,0.08,0.05,1.12,6.44,0.40,0.36,Sustained,Flux calibration blueward of 5600AA is suspect. cz from BAGPIPES. Oiii 4960 possibly non-detection. Hd weakly detected in emission. 
UGC7370,ugc7370_imacsf4.txt,2023-03-22,new,Magellan,IMACS f/4,longslit - 2.5”,air,2400,330.0,12:19:40.33,+02:04:46.5,1947,119,92,2.4,1.080,0.008,20.1,0.5,1.59E-13,3E-15,—,—,—,—,—,—,—,—,—,—,—,—,0.39,0.05,3.6E-15,5E-16,0.032,0.009,3.0E-16,9E-17,—,—,—,—,3.16,0.07,3.30E-14,7E-16,6.68,0.07,6.96E-14,6E-16,-0.29,0.04,-3.0E-15,4E-16,0.29,0.03,2.7E-15,2E-16,23.5,0.2,2.198E-13,4E-16,4.05,0.05,3.78E-14,4E-16,5.70,0.06,5.33E-14,4E-16,4.26,0.06,3.99E-14,4E-16,0.42,0.03,3.4E-15,3E-16,1.22,0.04,1.01E-14,3E-16,—,—,—,—,—,—,—,—,0.1720,0.0018,—,—,-10.0602,8.555,0.17,8.41,0.18,FALSE,-1.40,0.06,0.05,11.22,9.59,0.33,0.31,Bursty,Oii73270 and 7330 both consistent with similar spikes in that part of spectrum (from sky sub?).
PGC41458,pgc41458_imacsf4.txt,2025-05-02,new,Magellan,IMACS f/4,longslit - 2.5”,air,3600,160.0,12:31:33.35,+12:03:49.6,613,150,147,-17.5,1.04,0.04,1.1,0.4,1.3E-15,5E-16,7,2,8E-15,2E-15,-0.8,0.3,-9E-16,3E-16,-16,2,-1.9E-14,2E-15,0.4,0.2,4E-16,2E-16,0.3,0.1,3E-16,1E-16,0.5,0.2,5E-16,2E-16,0.3,0.1,3E-16,1E-16,0.2,0.1,2E-16,1E-16,0.15,0.08,1.5E-16,8E-17,-5.2,0.4,-4.5E-15,3E-16,0.355,0.002,3E-16,2E-16,0.09,0.06,8E-17,5E-17,0.5,0.2,5E-16,2E-16,0.5,0.2,4E-16,2E-16,—,—,—,—,—,—,—,—,2.6000,1.4428,0.4000,0.2561,0.1538,0.0970,3.6000,1.7758,0.2667,0.2437,1.5000,1.6737,-12.4637,8.69,0.24,8.56,0.40,FALSE,-1.63,0.08,0.11,7.08,7.74,0.28,0.23,Quiescent,Hg and Oiii4363 possibly weakly detected. Sii6717 may be weakly detected. No clear Balmer emission 12 + log (O/H) estimate from forced SSP fitting. If extrapolating Curti+ 12+logO/H: 8.47 +/- 0.51. Hg through Nii6584 based on young SSP model; Ha flux error estimated. Emission probably from nuclear star cluster(?).
PGC41458b,pg41458b_imacsf4.txt,2025-05-02,new,Magellan,IMACS f/4,longslit - 2.5”,air,3600,140.0,12:31:33.96,+12:04:03.4,705.5,396.5,313.5,-17.5,0.9,0.1,16,5,1.1E-14,3E-15,11,3,2.7E-15,9E-16,6,3,1.6E-15,8E-16,3,2,1.0E-15,6E-16,1.7,0.8,3E-16,1E-16,3,2,5E-16,3E-16,-3,1,-6E-16,2E-16,2.3,0.7,4E-16,1E-16,4,1,8E-16,3E-16,0.6,0.5,1.0E-16,9E-17,0.4,0.3,5E-17,4E-17,0.5,1.1,7E-17,1.6E-16,1.5,0.4,2.1E-16,5E-17,—,—,—,—,—,—,—,—,—,—,—,—,6,1,7E-16,2E-16,-18.3333,-7.8959,-1.3333,-0.6690,0.0727,0.0337,-20.3333,-8.4390,3.0000,6.8942,-0.4444,-1.0454,-12.2674,8.83,0.14,8.83,0.14,FALSE,-0.009,0.014,0.006,1.12,5.13,0.21,0.38,Quiescent,Essentially non-detections across the board other than Neiii3870 and Sii4069. Very clear Oii7330. Other lines indistinguishable from noise. All reported line measurements except Ha and Nii from binned spectrum. 12+logO/H from Curti+2017 O32 relation (P&P04 N2 was out of calibration range due to Ha non-detection). Emission probably from nuclear star cluster(?).
LeG26,leg26_lris.txt,2003-04-26,archive,Keck,LRIS,longslit - 1.5”,vac,2700,65.1,10:51:21.1,+12:50:56,505,42,58,-23.8,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-0.3,0.2,-1.0E-16,5E-17,0.4,0.1,1.3E-16,4E-17,1.2,0.3,3.6E-16,8E-17,-1.1,0.2,-2.7E-16,5E-17,0.4,0.1,1.0E-16,3E-17,3.5,0.3,7.8E-16,6E-17,0.4,0.1,9E-17,2E-17,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-3.6000,-1.9698,—,—,—,—,0.1154,0.0271,-31.2000,-18.5812,-11.1518,8.45,0.10,8.31,0.19,FALSE,-0.05,0.06,0.03,0.0079,4.89,0.27,0.24,Quiescent,Flux calibration blueward of 5600AA is suspect.
UGC9126,ugc9126_imacsf4.txt,2025-04-28,new,Magellan,IMACS f/4,longslit - 2.5”,air,3600,355.0,14:15:40.60,+16:32:59.0,2579.5,128.8,97.0,-4.8,1.10,0.06,29,3,2.1E-14,1E-15,15.5,4,1.0E-14,2E-15,-1.27,0.03,-7.915E-16,0,1.6,0.8,1.0E-15,5E-16,6,1,3.9E-15,6E-16,1.2,0.4,7E-16,3E-16,8.4,0.5,4.7E-15,2E-16,9.5,0.6,5.2E-15,3E-16,25.4,0.7,1.40E-14,3E-16,-0.2,0.3,-1E-16,1E-16,0.5,0.2,1.9E-16,7E-17,53,1,2.04E-14,2E-16,3.8,0.5,1.5E-15,2E-16,12.3,0.6,4.7E-15,2E-16,3.8,0.4,1.5E-15,1E-16,1.0,0.3,3.1E-16,8E-17,1.6,0.5,5E-16,1E-16,4.4681,0.2853,2.9787,0.1419,0.6667,0.0348,8.5532,0.4311,0.0735,0.0098,40.5106,5.7496,-9.5940,8.40,0.21,8.22,0.18,FALSE,-1.3,0.1,0.1,0.79,4.89,0.24,0.27,Episodic,CSP continuum shape does not match data around Neiii3870. If extrapolating Curti+ 12+logO/H: 7.86 +/- 0.39.
UGC9126-minor,ugc9126minor_imacsf4.txt,2025-05-02,new,Magellan,IMACS f/4,longslit - 2.5”,air,3600,265.0,14:15:40.08,+16:32:59.0,2579.5,128.8,97.0,-4.8,0.87,0.04,12,2,1.8E-14,2E-15,—,—,—,—,—,—,—,—,—,—,—,—,4.2,0.7,2.7E-15,4E-16,0.9,0.4,6E-16,2E-16,10.2,0.6,5.7E-15,3E-16,12.6,0.6,7.2E-15,3E-16,43,1,2.49E-14,2E-16,0.14,0.04,7E-17,2E-17,—,—,—,—,54,2,2.17E-14,2E-16,1.1,0.3,4E-16,1E-16,4.7,0.4,1.9E-15,2E-16,4.8,0.5,1.9E-15,2E-16,—,—,—,—,—,—,—,—,3.1579,0.3883,4.3684,0.2326,1.3833,0.1541,8.7895,0.5841,0.0184,0.0046,236.9868,60.6147,-9.5832,8.12,0.19,7.97,0.19,FALSE,-0.71,0.02,0.02,0.89,4.67,0.31,0.34,Episodic,cz not remeasured and is adopted from spectrum along major axis. CSP continuum shape does not match around Neiii3870 to Hd. If extrapolating Curti+ 12+logO/H: 7.61 +/- 0.40.
UGC7485,ugc7485_imacsf2.txt,2024-02-11,new,Magellan,IMACS f/2,longslit - 2.5”,air,1800,295.0,12:24:22.19,+21:09:36.0,1166.2,0.9,1.0,16.79,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,14.3,0.3,9.82E-14,5E-16,16.4,0.3,1.145E-13,5E-16,49.4,0.8,3.498E-13,5E-16,0.12,0.03,8E-16,2E-16,1.45,0.09,8.1E-15,5E-16,67,1,3.756E-13,5E-16,7.1,0.2,3.99E-14,5E-16,9.6,0.2,5.51E-14,6E-16,6.7,0.2,3.87E-14,5E-16,1.8,0.1,9.3E-15,5E-16,2.1,0.1,1.09E-14,7E-16,—,—,3.5621,0.0188,—,—,—,—,0.1062,0.0013,33.5321,0.4583,-9.4596,8.39,0.15,8.29,0.18,FALSE,-0.72,0.02,0.06,1.12,6.75,0.57,0.33,Sustained,cz from BAGPIPES.
LEDA1722581,LEDA1722581_MaNGAspec.txt,2017-03-27,survey,SDSS,MaNGA,IFU,vac,8100.77,—,08:35:37.14,+25:00:15.0,5158.5,8.5,4.5,0,1.195,0.003,23.0,0.5,2.87E-15,2E-17,0.78,0.05,1.35E-16,8E-18,1.13,0.05,2.2E-16,1E-17,—,—,—,—,1.44,0.03,2.84E-16,5E-18,0.24,0.02,4.8E-17,4E-18,3.35,0.03,6.72E-16,5E-18,2.02,0.03,4.05E-16,6E-18,6.51,0.04,1.307E-15,6E-18,0.38,0.03,7.4E-17,6E-18,—,—,—,—,15.5,0.1,2.582E-15,5E-18,2.24,0.03,3.74E-16,4E-18,4.12,0.05,6.87E-16,7E-18,2.77,0.03,4.63E-16,5E-18,—,—,—,—,—,—,—,—,4.2708,0.0435,1.9449,0.0170,0.4554,0.0038,6.8185,0.0602,0.1448,0.0016,13.4274,0.1873,-10.2988,8.49,0.24,8.36,0.18,FALSE,-1.19,0.04,0.04,5.62,8.30,0.36,0.42,Sustained,Wavelengths have heliocentric correction applied from pipeline.
LEDA1722581-em,LEDA1722581_Ha_blob_MaNGAspec.txt,2017-03-27,survey,SDSS,ManGA,IFU,vac,8100.77,—,08:35:36.73,+25:00:15.0,5165.5,14.5,31.5,0,1.102,0.003,49.2,0.9,3.68E-15,1E-17,1.42,0.05,1.41E-16,4E-18,0.76,0.07,8.0E-17,7E-18,2.17,0.05,2.28E-16,4E-18,4.63,0.06,4.67E-16,4E-18,0.18,0.05,1.9E-17,5E-18,10.43,0.08,1.032E-15,4E-18,6.70,0.05,6.60E-16,4E-18,20.3,0.1,2.009E-15,4E-18,0.25,0.03,2.3E-17,2E-18,0.78,0.03,6.2E-17,2E-18,42.4,0.3,3.344E-15,4E-18,4.87,0.04,3.83E-16,3E-18,8.33,0.07,6.51E-16,4E-18,5.49,0.04,4.29E-16,3E-18,0.38,0.03,2.7E-17,2E-18,—,—,—,—,3.5659,0.0169,1.9467,0.0085,0.5459,0.0018,6.1521,0.0263,0.1145,0.0009,16.9968,0.1537,-9.7219,8.48,0.24,8.31,0.18,FALSE,-1.26,0.06,0.04,3.98,7.23,0.40,0.24,Sustained,Wavelengths have heliocentric correction applied from pipeline. If extrapolating Curti+ 12+logO/H: 8.27 +/- 0.35.
PGC1818175,pgc1818175-spec-2231-53816-0422.fits,2006-03-22,survey,SDSS,SDSS,fiber - 3”,vac,3500.30,—,12:17:08.21,+27:47:42.9,971,15,6,0,1.08,0.03,—,—,—,—,1.5,0.7,1.0E-16,5E-17,0.5,0.3,4E-17,2E-17,-2.7,0.8,-2.0E-16,6E-17,0.7,0.8,5E-17,6E-17,0.7,2.2,5E-17,1.6E-16,0.3,0.2,2E-17,2E-17,0.15,0.07,1.1E-17,5E-18,0.6,0.2,4E-17,1E-17,0.04,0.09,3E-18,6E-18,—,—,—,—,1.4,0.2,8E-17,1E-17,0.6,0.3,4E-17,2E-17,0.8,0.2,5E-17,1E-17,0.13,0.07,8E-18,4E-18,—,—,—,—,—,—,—,—,—,—,2.0000,2.0616,—,—,—,—,0.5000,0.2577,4.0000,4.6098,-11.6771,8.555,0.11,8.86,0.35,FALSE,-0.93,0.06,0.05,2.51,6.87,0.32,0.56,Quiescent,Wavelengths have heliocentric correction applied from pipeline.
UGC5427,ugc5427-spec-1950-53436-0047.fits,2005-03-07,survey,SDSS,SDSS,fiber - 3”,vac,2200.30,—,10:04:40.95,+29:21:51.6,440,2,2,0,1.01,0.03,—,—,—,—,0.76,0.01,9E-17,6E-17,0.9,0.4,1.0E-16,5E-17,4.0,0.4,4.6E-16,4E-17,6.8,0.4,7.3E-16,4E-17,0.0657,0.0007,7.0E-18,3E-19,15.7,0.5,1.46E-15,4E-17,3.9,0.4,3.6E-16,3E-17,13.9,0.4,1.30E-15,4E-17,0.4,0.4,3E-17,3E-17,1.8,0.4,1.1E-16,2E-17,60,1,3.79E-15,6E-17,5.5,0.4,3.5E-16,2E-17,10.3,0.4,6.5E-16,2E-17,7.1,0.4,4.5E-16,2E-17,1.8,0.5,1.0E-16,3E-17,0.4,0.4,2E-17,2E-17,—,—,0.8904,0.0367,—,—,—,—,0.0923,0.0055,9.6419,0.6962,-9.5228,8.52,0.15,8.26,0.18,FALSE,-0.88,0.03,0.03,0.89,4.62,0.29,0.26,Episodic,Wavelengths have heliocentric correction applied from pipeline.
UGC5427,ugc5427-spec-11350-58455-0631.fits,2018-12-03,survey,SDSS,BOSS,fiber - 2”,vac,5400.59,—,10:04:39.34,+29:22:01.84,447.5,16,35,0,1.04,0.04,33,3,7.9E-16,6E-17,—,—,—,—,0.161,0.003,4.5E-18,0,—,—,—,—,3.8,0.6,9E-17,1E-17,—,—,—,—,8.3,0.6,1.8E-16,1E-17,1.3,0.4,2.6E-17,8E-18,3.2,0.5,7E-17,1E-17,0.9,0.9,2E-17,2E-17,0.241,0.004,3.6449E-18,2E-32,38,1,5.8E-16,2E-17,4.9,0.8,7E-17,1E-17,9.1,0.7,1.4E-16,1E-17,6.6,0.7,1.0E-16,1E-17,2,1,3E-17,2E-17,2,3,3E-17,5E-17,4.3889,0.4130,0.3889,0.0596,0.0886,0.0143,4.9222,0.4370,0.1207,0.0177,3.2222,0.6842,-9.7847,8.64,0.24,8.32,0.18,FALSE,-1.98,0.02,0.03,2.00,6.11,0.26,0.29,Episodic,"Wavelengths have heliocentric correction applied from pipeline. Hd weakly detected, but not readily fit. If extrapolating Curti+ 12+logO/H: 8.40 +/- 0.35."
UGC5427,ugc5427-spec-6469-56328-0466.fits,2013-02-05,survey,SDSS,BOSS,fiber - 2”,vac,2702.54,—,10:04:41.47,+29:21:55.6,454.5,8.5,17.4,0,0.99,0.03,17,1,5.4E-16,4E-17,1.3,0.4,5E-17,1E-17,0.9,0.3,4E-17,1E-17,2.3,0.6,9E-17,2E-17,2.5,0.6,9E-17,2E-17,0.5,0.3,1.6E-17,9E-18,2.7,0.3,9E-17,1E-17,0.4,0.2,1.4E-17,7E-18,2.6,0.4,8E-17,1E-17,-0.6,0.3,-1.6E-17,9E-18,-0.509,0.005,-1.132E-17,1E-32,12.4,0.5,2.8E-16,1E-17,1.7,0.5,4E-17,1E-17,3.2,0.4,7.1E-17,8E-18,2.5,0.4,5.5E-17,9E-18,-0.2,0.4,-4E-18,8E-18,-0.4,0.4,8E-18,7E-18,6.0000,0.8012,0.8889,0.1487,0.1481,0.0215,7.0444,0.9103,0.1429,0.0361,6.2222,1.8847,-10.4267,8.57,0.24,8.36,0.19,FALSE,-1.98,0.01,0.02,2.00,5.58,0.30,0.26,Episodic,Wavelengths have heliocentric correction applied from pipeline. If extrapolating Curti+ 12+logO/H: 8.33 +/- 0.35.
