galaxy,RA,Dec,telescope,cz_corr(km/s),-d_cz,+d_cz,D_cz (Mpc),-d_D_cz,+d_D_cz,D_SBF (Mpc),-d_D_SBF,+d_D_SBF,D (Mpc),-d_D,+d_D,Dn4000,d_Dn4000,EW_Oii3727,dEW_Oii3727,F_Oii3727,dF_Oii3727,EW_Neiii3870,dEW_Neiii3870,F_Neiii3870,dF_Neiii3870,EW_Sii4069,dEW_Sii4069,F_Sii4069,dF_Sii4069,EW_Hd4102,dEW_Hd4102,F_Hd4102,dF_Hd4102,EW_Hg4340,dEW_Hg4340,F_Hg4340,dF_Hg4340,EW_Oiii4363,dEW_Oiii4363,F_Oiii4363,dF_Oiii4363,EW_Hb4861,dEW_Hb4861,F_Hb4861,dF_Hb4861,EW_Oiii4960,dEW_Oiii4960,F_Oiii4960,dF_Oiii4960,EW_Oiii5007,dEW_Oiii5007,F_Oiii5007,dF_Oiii5007,EW_Nii5756,dEW_Nii5756,F_Nii5756,dF_Nii5756,EW_Nii6549,dEW_Nii6549,F_Nii6549,dF_Nii6549,EW_Ha6563,dEW_Ha6563,F_Ha6563,dF_Ha6563,EW_Nii6584,dEW_Nii6584,F_Nii6584,dF_Nii6584,EW_Sii6717,dEW_Sii6717,F_Sii6717,dF_Sii6717,EW_Sii6731,dEW_Sii6731,F_Sii6731,dF_Sii6731,EW_Oii7320,dEW_Oii7320,F_Oii7320,dF_Oii7320,EW_Oii7330,dEW_Oii7330,F_Oii7330,dFOii7330,R2,dR2,R3,dR3,O32,dO32,R23,dR23,N2,dN2,O3N2,dO3N2,logsSFR_Ha,-dsSFR_Ha,+dsSFR_Ha,SFR_UV,-dSFR_UV,+dSFR_UV,logsSFR_UV,-dsSFR_UV,+dsSFR_UV,logHa/UV,-dlogHa/UV,+dlogHa/UV,logZ/Zsun,-dlogZ/Zsun,+dlogZ/Zsun,12+log(O/H) - Curti+17,d12+log(O/H) - Curti+17,12+log(O/H),d12+log(O/H),ulim_12+log(O/H),logMstar/Msun,-d_Mstar,+d_Mstar,logM200/Msun,Rvir(kpc),g,-dg,+dg,r,-dr,+dr,z,-dz,+dz,n,-dn,+dn,b/a,-d_b/a,+d_b/a,PA(deg),-dPA,+dPA,r_eff(arcsec),-d_r_eff(asec),+d_r_eff(asec),R_eff(kpc),-d_R_eff,+d_R_eff,FUV,-dFUV,+dFUV,F814W,dF814W,age_SSP(Gyr),age_mass(Gyr),-d_agemass,+d_agemass,environment,SFH morphology,Notes
UGC75,00:08:46.23,+15:49:01.0,Magellan,877,97,138,11,1,1,5,2,2,5,2,2,1.126,0.004,14.5,0.3,6.3E-14,1E-15,2.0,0.1,1.31E-14,9E-16,0.8,0.1,5.4E-15,7E-16,-1.51,0.07,-1.04E-14,5E-16,-2.5,0.1,-1.68E-14,7E-16,1.01,0.07,6.8E-15,4E-16,—,—,—,—,2.04,0.03,1.37E-14,2E-16,6.34,0.05,4.25E-14,2E-16,0.04,0.02,3E-16,1E-16,0.27,0.02,1.4E-15,1E-16,18.56,0.08,9.94E-14,2E-16,2.75,0.03,1.47E-14,1E-16,3.27,0.03,1.74E-14,1E-16,4.05,0.03,2.15E-14,2E-16,0.19,0.02,8E-16,1E-16,0.75,0.04,3.4E-15,2E-16,—,—,—,—,0.6746,0.0112,—,—,0.1479,0.0010,—,—,-10.195,0.002,0.002,—,—,—,—,—,—,—,—,—,-1.45,0.06,0.05,8.50,0.17,8.37,0.18,FALSE,8.3,0.4,0.4,10.58,69.28,12.8458,0.0005,0.0006,12.359,0.003,0.003,12.015,0.006,0.005,1.261,0.005,0.005,0.598,0.002,0.002,26.33,0.02,0.02,28.8,0.2,0.2,0.7,0.3,0.3,—,—,—,12.76,0.01,3.55,6.47,0.38,0.35,Interacting,Sustained,Hb in chip gap. Hd + Hg may be weakly detected in emission. Physical parameters (for example: n or b/a) quoted for single Sersic fit. Double Sersic used for grz photometry — see the CSV containing results (or the paper) for those details. HST/WFPC2 F814W photometry fit separately (see GALFIT outputs for details) — does not cover outer shell of galaxy.
PGC4143,01:09:41.46,-02:15:59.3,Magellan,1770,129,109,21,2,2,—,—,—,21,2,2,1.17,0.01,14.0,0.8,1.62E-14,8E-16,1.4,0.3,2.1E-15,5E-16,—,—,—,—,—,—,—,—,-3.9,0.4,-6.2E-15,7E-16,1.3,0.3,2.1E-15,5E-16,—,—,—,—,1.20,0.08,2.2E-15,1E-16,2.92,0.08,5.2E-15,1E-16,-0.28,0.06,-5E-16,1E-16,0.25,0.03,4.1E-16,6E-17,9.25,0.08,1.53E-14,1E-16,1.51,0.07,2.5E-15,1E-16,3.01,0.07,5.0E-15,1E-16,2.30,0.07,3.8E-15,1E-16,—,—,—,—,—,—,—,—,—,—,—,—,0.3210,0.0170,—,—,0.1634,0.0066,—,—,-10.595,0.005,0.005,0.022,0.004,0.004,-10.6,0.2,0.2,0.0,0.2,0.2,-0.953,0.003,0.010,8.57,0.17,8.40,0.18,FALSE,8.9,0.2,0.2,10.90,88.87,14.682,0.002,0.002,14.140,0.003,0.003,13.784,0.003,0.003,1.660,0.004,0.004,0.5802,0.0008,0.0009,-14.46,0.05,0.04,26.91,0.07,0.07,2.7,0.3,0.3,17.72,0.02,0.02,—,—,7.08,8.57,0.06,0.05,Isolated,Bursty,Hb in chip gap. Hd + Hg may be weakly detected in emission.
UGCA285,12:33:08.5,-00:31:55,Keck,754,12,15,10.2,0.2,0.3,9,2,1,9,2,1,0.74,0.05,27,7,1.5E-14,3E-15,—,—,—,—,—,—,—,—,—,—,—,—,1,3,7E-16,1.8E-15,-3,3,-2E-15,2E-15,0.5,1.7,3E-16,1.0E-15,—,—,—,—,2,3,9E-16,1.8E-15,1.0,0.2,6.286E-16,0,1.4,0.3,8E-16,2E-16,23,2,1.34E-14,6E-16,6.9,0.3,4.1E-15,4E-16,26,2,1.55E-14,7E-16,20,1,1.19E-14,4E-16,—,—,—,—,—,—,—,—,—,—,3.0000,11.6619,—,—,—,—,0.3060,0.0328,9.8049,38.1290,-10.07,0.05,0.05,9E-04,4E-04,2E-04,-10.6,0.4,0.2,0.5,0.4,0.2,-0.07,0.08,0.05,8.53,0.15,8.62,0.19,FALSE,7.5,0.3,0.2,10.16,50.12,16.261,0.002,0.003,15.85,0.05,0.03,15.61,0.04,0.04,0.655,0.008,0.008,0.881,0.011,0.008,8.3,1.6,1.4,19.2,0.8,0.6,0.8,0.2,0.1,19.4,0.1,0.1,15.446,0.002,1.12,6.44,0.40,0.36,Group,Sustained,Flux calibration blueward of 5600AA is suspect. cz from BAGPIPES. Oiii 4960 possibly non-detection. Nii5756 significantly offset. Only N2 trustworthy though because of flux calibration so that’s adopted. Using [Fe/H] = -2.5 model for line fitting. If allowing extrapolation in Curti+ 12+logO/H: 7.3+/-0.4. HST/ACS WFC F814W photometry fit separately with double Sersic model (see GALFIT outputs for details).
UGC7370,12:19:40.33,+02:04:46.5,Magellan,1949,119,92,35,2,1,—,—,—,35,2,1,1.080,0.008,20.1,0.5,1.59E-13,3E-15,—,—,—,—,—,—,—,—,—,—,—,—,0.39,0.05,3.6E-15,5E-16,0.032,0.009,3.0E-16,9E-17,—,—,—,—,3.16,0.07,3.30E-14,7E-16,6.68,0.07,6.96E-14,6E-16,-0.29,0.04,-3.0E-15,4E-16,0.29,0.03,2.7E-15,2E-16,23.5,0.2,2.198E-13,4E-16,4.05,0.05,3.78E-14,4E-16,5.70,0.06,5.33E-14,4E-16,4.26,0.06,3.99E-14,4E-16,0.42,0.03,3.4E-15,3E-16,1.22,0.04,1.01E-14,3E-16,—,—,—,—,0.4377,0.0091,—,—,0.1720,0.0018,—,—,-10.060,0.005,0.005,0.075,0.009,0.006,-10.5,0.2,0.2,0.5,0.2,0.2,-1.40,0.06,0.05,8.555,0.17,8.41,0.18,FALSE,9.4,0.2,0.2,11.13,105.59,14.486,0.001,0.001,13.940,0.002,0.002,13.576,0.002,0.002,0.817,0.002,0.002,0.2828,0.0003,0.0003,-29.37,0.02,0.02,20.31,0.05,0.06,3.4,0.2,0.1,17.49,0.05,0.06,—,—,11.22,9.59,0.33,0.31,Group,Bursty,Oii73270 and 7330 both consistent with similar spikes in that part of spectrum (from sky sub?).
PGC41458,12:31:33.35,+12:03:49.6,Magellan,596,150,147,9,2,2,—,—,—,9,2,2,1.04,0.04,1.1,0.4,1.3E-15,5E-16,7,2,8E-15,2E-15,-0.8,0.3,-9E-16,3E-16,-16,2,-1.9E-14,2E-15,0.4,0.2,4E-16,2E-16,0.3,0.1,3E-16,1E-16,0.5,0.2,5E-16,2E-16,0.3,0.1,3E-16,1E-16,0.2,0.1,2E-16,1E-16,0.15,0.08,1.5E-16,8E-17,-5.2,0.4,-4.5E-15,3E-16,0.355,0.002,3E-16,2E-16,0.09,0.06,8E-17,5E-17,0.5,0.2,5E-16,2E-16,0.5,0.2,4E-16,2E-16,—,—,—,—,—,—,—,—,2.6000,1.4428,0.4000,0.2561,0.1538,0.0970,3.6000,1.7758,0.2667,0.2437,1.5000,1.6737,-12.464,0.003,0.003,7E-05,3E-05,3E-05,-11.7,0.4,0.4,-0.7,0.4,0.4,-1.63,0.08,0.11,8.69,0.24,8.56,0.40,FALSE,7.6,0.3,0.3,10.21,52.03,16.725,0.002,0.002,16.095,0.004,0.004,15.719,0.004,0.004,1.354,0.006,0.006,0.574,0.002,0.002,-27.4,0.2,0.1,13.29,0.03,0.03,0.6,0.1,0.1,22.1,0.1,0.1,—,—,7.08,7.74,0.28,0.23,Interacting,Quiescent,Hg and Oiii4363 possibly weakly detected. Sii6717 may be weakly detected. No clear Balmer emission 12 + log (O/H) estimate from forced SSP fitting. If extrapolating Curti+ 12+logO/H: 8.47 +/- 0.51. Hg through Nii6584 based on young SSP model; Ha flux error estimated. Emission probably from nuclear star cluster(?).
PGC41458b,12:31:33.96,+12:04:03.4,Magellan,688,396.5,313.5,10,6,11,—,—,—,10,6,11,0.9,0.1,16,5,1.1E-14,3E-15,11,3,2.7E-15,9E-16,6,3,1.6E-15,8E-16,3,2,1.0E-15,6E-16,1.7,0.8,3E-16,1E-16,3,2,5E-16,3E-16,-3,1,-6E-16,2E-16,2.3,0.7,4E-16,1E-16,4,1,8E-16,3E-16,0.6,0.5,1.0E-16,9E-17,0.4,0.3,5E-17,4E-17,0.5,1.1,7E-17,1.6E-16,1.5,0.4,2.1E-16,5E-17,—,—,—,—,—,—,—,—,—,—,—,—,6,1,7E-16,2E-16,—,—,—,—,0.0727,0.0337,—,—,3.0000,6.8942,—,—,-12.3,2.2,0.7,<1.8E-05,—,—,<-11.94,—,—,>0.33,—,—,-0.009,0.014,0.006,8.83,0.14,8.83,0.14,FALSE,7.2,0.5,0.9,10.02,45.02,17.78,0.01,0.01,17.19,0.04,0.02,16.67,0.01,0.02,0.71,0.01,0.01,0.97,0.04,0.01,-24,6,4,12,1,1,0.6,0.4,0.6,>23.8,—,—,—,—,1.12,5.13,0.21,0.38,Interacting,Quiescent,Essentially non-detections across the board other than Neiii3870 and Sii4069. Very clear Oii7330. Other lines indistinguishable from noise. All reported line measurements except Ha and Nii from binned spectrum. 12+logO/H from Curti+2017 O32 relation (P&P04 N2 was out of calibration range due to Ha non-detection). Emission probably from nuclear star cluster(?).
LeG26,10:51:21.1,+12:50:56,Keck,481,42,58,8.9,0.9,1.1,—,—,—,8.9,0.9,1.1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-0.3,0.2,-1.0E-16,5E-17,0.4,0.1,1.3E-16,4E-17,1.2,0.3,3.6E-16,8E-17,-1.1,0.2,-2.7E-16,5E-17,0.4,0.1,1.0E-16,3E-17,3.5,0.3,7.8E-16,6E-17,0.4,0.1,9E-17,2E-17,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0.1154,0.0271,—,—,-11.15,0.07,0.06,1.2E-04,2E-05,3E-05,-11.6,0.2,0.2,0.5,0.2,0.2,-0.05,0.06,0.03,8.45,0.10,8.31,0.19,FALSE,7.7,0.2,0.2,10.25,54.04,16.403,0.002,0.002,15.798,0.008,0.006,15.419,0.007,0.007,0.884,0.003,0.003,0.811,0.005,0.004,79.7,0.5,0.5,14.28,0.07,0.06,0.62,0.06,0.08,21.483,0.003,0.003,—,—,0.0079,4.89,0.27,0.24,Group,Quiescent,Flux calibration blueward of 5600AA is suspect. Curti+ 12+logO/H from calibrator that’s impacted by insecure blue-side flux calibration. 12+logO/H is an upper limit based on non-detection of Nii.
UGC9126,14:15:40.08,+16:32:59.0,Magellan,2575,129,97,43,2,2,—,—,—,43,2,2,0.96,0.04,18,3,3.9E-14,2E-15,15,6,1.0E-14,2E-15,-1.27,0.03,-7.915E-16,0,2,1,1.0E-15,5E-16,5,1,6.6E-15,7E-16,1.0,0.5,1.3E-15,4E-16,9.3,0.6,1.04E-14,4E-16,11.1,0.7,1.24E-14,4E-16,34.4,0.8,3.89E-14,4E-16,-0.03,0.11,-3E-17,1.0E-16,0.5,0.3,1.9E-16,7E-17,54,1,4.21E-14,3E-16,2.5,0.6,1.9E-15,2E-16,8.4,0.7,6.6E-15,3E-16,4.3,0.5,3.4E-15,2E-16,0.5,0.2,3.1E-16,8E-17,0.7,0.4,5E-16,1E-16,3.7500,0.2404,3.7404,0.1489,0.9974,0.0522,8.6827,0.3892,0.0451,0.0048,82.8790,9.3459,-9.58,0.01,0.01,0.19,0.02,0.02,-9.9,0.2,0.2,0.3,0.2,0.2,-0.99,0.05,0.05,8.31,0.21,8.14,0.18,FALSE,9.2,0.2,0.2,11.04,98.79,14.924,0.001,0.001,14.526,0.003,0.003,14.279,0.004,0.004,1.000,0.003,0.003,0.719,0.002,0.002,1.5,0.2,0.2,30.38,0.10,0.09,6.3,0.3,0.3,16.92,0.05,0.05,—,—,0.84,4.77,0.20,0.22,Isolated,Episodic,Lines measurements are co-adds of *detections* across major and minor axes.
UGC7485,12:24:22.19,+21:09:36.0,Magellan,1183.0,0.9,1.0,24.011,0.075,0.075,—,—,—,24.011,0.075,0.075,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,14.3,0.3,9.82E-14,5E-16,16.4,0.3,1.145E-13,5E-16,49.4,0.8,3.498E-13,5E-16,0.12,0.03,8E-16,2E-16,1.45,0.09,8.1E-15,5E-16,67,1,3.756E-13,5E-16,7.1,0.2,3.99E-14,5E-16,9.6,0.2,5.51E-14,6E-16,6.7,0.2,3.87E-14,5E-16,1.8,0.1,9.3E-15,5E-16,2.1,0.1,1.09E-14,7E-16,—,—,3.5621,0.0188,—,—,—,—,0.1062,0.0013,33.5321,0.4583,-9.460,0.009,0.008,0.024,0.002,0.002,-10.5,0.2,0.2,1.1,0.2,0.2,-0.72,0.02,0.06,8.39,0.15,8.29,0.18,FALSE,8.9,0.2,0.2,10.90,88.87,14.907,0.002,0.002,14.387,0.003,0.003,14.078,0.003,0.003,1.478,0.004,0.005,0.671,0.002,0.002,-59.69,0.09,0.08,14.46,0.04,0.05,1.683,0.007,0.008,17.90,0.07,0.08,—,—,1.12,6.75,0.57,0.33,Isolated,Sustained,
LEDA1722581,08:35:37.14,+25:00:15.0,SDSS,5158,8.5,4.5,80.55,0.11,0.06,—,—,—,80.55,0.11,0.06,1.195,0.003,23.0,0.5,2.87E-15,2E-17,0.78,0.05,1.35E-16,8E-18,1.13,0.05,2.2E-16,1E-17,—,—,—,—,1.44,0.03,2.84E-16,5E-18,0.24,0.02,4.8E-17,4E-18,3.35,0.03,6.72E-16,5E-18,2.02,0.03,4.05E-16,6E-18,6.51,0.04,1.307E-15,6E-18,0.38,0.03,7.4E-17,6E-18,—,—,—,—,15.5,0.1,2.582E-15,5E-18,2.24,0.03,3.74E-16,4E-18,4.12,0.05,6.87E-16,7E-18,2.77,0.03,4.63E-16,5E-18,—,—,—,—,—,—,—,—,4.2708,0.0435,1.9449,0.0170,0.4554,0.0038,6.8185,0.0602,0.1448,0.0016,13.4274,0.1873,-10.300,0.004,0.004,0.011,0.002,0.003,-10.8,0.2,0.2,0.5,0.2,0.2,-1.19,0.04,0.04,8.49,0.24,8.36,0.18,FALSE,8.8,0.2,0.2,10.85,85.55,17.549,0.003,0.003,17.085,0.004,0.004,16.800,0.005,0.005,1.157,0.008,0.008,0.326,0.001,0.001,-82.16,0.08,0.08,6.56,0.02,0.02,2.562,0.043,0.008,21.4,0.2,0.3,16.779,0.003,5.62,8.30,0.36,0.42,Interacting,Sustained,HST/ACS WFC F814W photometry fit separately (see GALFIT outputs for details).
