galaxy,QSO,QSOz,ang_sep(arcmin),dproj(kpc),-ddproj(kpc),+ddproj(kpc),dproj/rvir,COS,FUSE,environment,logMstar/Msun,-d_Mstar,+d_Mstar,logsSFR_Ha,-dsSFR_Ha,+dsSFR_Ha,SFR_UV,-dSFR_UV,+dSFR_UV,logsSFR_UV,-dsSFR_UV,+dsSFR_UV,logHa/UV,-dlogHa/UV,+dlogHa/UV,logZ/Zsun,-dlogZ/Zsun,+dlogZ/Zsun,12+log(O/H),d12+log(O/H),ulim_12+log(O/H),Dn4000,d_Dn4000,cz_corr(km/s),-d_cz,+d_cz,cz_cen(km/s),dv_gal(km/s),NHI,-dNHI,+dNHI,NHI_lolim,NHI_uplim,vHI,-dvHI,+dvHI,NCII,-dNCII,+dNCII,NCII_lolim,NCII_uplim,vCII,-dvCII,+dvCII,NCIV,-dNCIV,+dNCIV,NCIV_lolim,NCIV_uplim,vCIV,-dvCIV,+dvCIV,NSiII,-dNSiII,+dNSiII,NSiII_lolim,NSiII_uplim,vSiII,-dvSiII,+dvSiII,NSiIII,-dNSiIII,+dNSiIII,NSiIII_lolim,NSiIII_uplim,vSiIII,-dvSiIII,+dvSiIII,NSiIV,-dNSiIV,+dNSiIV,NSiIV_lolim,NSiIV_uplim,vSiIV,-dSiIV,+dSiIV,NSii_total,-dNSii_total,+dNSii_total,Si_total_lolim,Si_total_uplim,Comments
UGC75,QSO B0003+1553,0.45,45.203,65.7,26.3,26.3,0.949,12038 (PI: Green),—,Interacting,8.3,0.4,0.4,-10.195,0.002,0.002,—,—,—,—,—,—,—,—,—,-1.45,0.06,0.05,8.37,0.18,FALSE,1.126,0.004,877,97,138,866,-11,13.553,0.059,0.052,FALSE,FALSE,-30.776,4.909,4.625,—,—,—,FALSE,FALSE,—,—,—,12.239,0.5,0,FALSE,TRUE,—,—,—,12.022,0.5,0,FALSE,TRUE,—,—,—,11.516,0.5,0,FALSE,TRUE,—,—,—,12.059,0.5,0,FALSE,TRUE,—,—,—,12.4024,1,0,FALSE,TRUE,No listed EWSiII.
PGC4143,LBQS 0107-0232,0.7269,8.298,50.7,4.8,4.8,0.570,11585 (PI: Crighton),—,Isolated,8.9,0.2,0.2,-10.595,0.005,0.005,0.022,0.004,0.004,-10.6,0.2,0.2,0.0,0.2,0.2,-0.953,0.003,0.010,8.40,0.18,FALSE,1.17,0.01,1770,129,109,1871,101,—,—,—,FALSE,FALSE,—,—,—,—,—,—,FALSE,FALSE,10,0,0,13.418,0.081,0.07,FALSE,FALSE,32.8197,5.270,5.218,—,—,—,FALSE,FALSE,—,—,—,—,—,—,FALSE,FALSE,—,—,—,—,—,—,FALSE,FALSE,—,—,—,—,—,—,FALSE,FALSE,Lyman limit system; no flux <1420AA.
PGC4143,LBQS 0107-0235,0.95704,8.824,53.9,5.1,5.1,0.607,11585 (PI: Crighton),—,Isolated,8.9,0.2,0.2,-10.595,0.005,0.005,0.022,0.004,0.004,-10.6,0.2,0.2,0.0,0.2,0.2,-0.953,0.003,0.010,8.40,0.18,FALSE,1.17,0.01,1770,129,109,1871,101,14.678,0.125,0.128,FALSE,FALSE,6.952,1.412,1.124,13.38,0.16,0.16,FALSE,FALSE,—,—,—,13.299,0.108,0.096,FALSE,FALSE,65.5202,10.233,11.326,12.888,0.5,0,FALSE,TRUE,—,—,—,—,—,—,FALSE,FALSE,—,—,—,12.975,0.075,0.071,FALSE,FALSE,59.3444,5.828,4.449,—,—,—,FALSE,TRUE,HI is combination of two entries in “Merged table (updated)”.
PGC4143,QSO J0110-0218,0.956,9.153,55.9,5.3,5.3,0.629,11585 (PI: Crighton),—,Isolated,8.9,0.2,0.2,-10.595,0.005,0.005,0.022,0.004,0.004,-10.6,0.2,0.2,0.0,0.2,0.2,-0.953,0.003,0.010,8.40,0.18,FALSE,1.17,0.01,1770,129,109,1871,101,14.212,0.057,0.082,FALSE,FALSE,26.587,1.705,1.614,13.052,0.5,0,FALSE,TRUE,—,—,—,12.875,0.5,0,FALSE,TRUE,—,—,—,11.923,0.5,0,FALSE,TRUE,—,—,—,—,—,—,FALSE,FALSE,—,—,—,—,—,—,FALSE,FALSE,—,—,—,—,—,—,FALSE,TRUE,
UGCA285,LBQS 1230-0015,0.470987,1.165,3.05,0.68,0.34,0.061,11598 (PI: Tumlinson); 12486 (PI: Bowen),—,Group,7.5,0.3,0.2,-10.07,0.05,0.05,9E-04,4E-04,2E-04,-10.6,0.4,0.2,0.5,0.4,0.2,-0.07,0.08,0.05,8.62,0.19,FALSE,0.74,0.05,754,12,15,1142,388,14.372,0,2.696,TRUE,FALSE,-12.315,3.383,3.568,12.727,0.5,0,FALSE,TRUE,—,—,—,13.709,0.085,0.073,FALSE,FALSE,15.404,6.739,6.038,11.846,0.5,0,FALSE,TRUE,—,—,—,—,—,—,FALSE,FALSE,—,—,—,12.83,0.5,0,FALSE,TRUE,—,—,—,—,—,—,FALSE,TRUE,
UGC7370,QSO B1217+023,0.24023,7.957,81.0,4.6,2.3,0.767,13852 (PI: Bordoloi),—,Group,9.4,0.2,0.2,-10.060,0.005,0.005,0.075,0.009,0.006,-10.5,0.2,0.2,0.5,0.2,0.2,-1.40,0.06,0.05,8.41,0.18,FALSE,1.080,0.008,1949,119,92,2206,257,14.419,0.022,0.026,FALSE,FALSE,17.625,1.869,1.664,12.598,0.5,0,FALSE,TRUE,—,—,—,13.782,0.057,0.053,FALSE,FALSE,47.6911,5.074,5.681,11.956,0.5,0,FALSE,TRUE,—,—,—,—,—,—,FALSE,FALSE,—,—,—,12.374,0.5,0,FALSE,TRUE,—,—,—,—,—,—,FALSE,TRUE,
PGC41458,LEDA 169472,0.11578,4.995,13.1,2.9,2.9,0.251,14071 (PI: Borthakur),—,Interacting,7.6,0.3,0.3,-12.464,0.003,0.003,7E-05,3E-05,3E-05,-11.7,0.4,0.4,-0.7,0.4,0.4,-1.63,0.08,0.11,8.56,0.40,FALSE,1.04,0.04,596,150,147,719.5,124,13.577,0.07,0.081,FALSE,FALSE,87.895,2.951,2.804,12.985,0.5,0,FALSE,TRUE,—,—,—,—,—,—,FALSE,FALSE,—,—,—,11.997,0.5,0,FALSE,TRUE,—,—,—,11.903,0.5,0,FALSE,TRUE,—,—,—,12.117,0.5,0,FALSE,TRUE,—,—,—,12.4917,1,0,FALSE,TRUE,Absorption z uncertain.
LeG26,2MASS J10512569+1247462,1.2828,3.366,8.71,0.88,1.08,0.161,12603 (PI: Heckman); 14777 (PI: Arav),—,Group,7.7,0.2,0.2,-11.15,0.07,0.06,1.2E-04,2E-05,3E-05,-11.6,0..2,0.2,0.5,0.2,0.2,-0.05,0.06,0.03,8.31,0.19,FALSE,—,—,481,42,58,431,-50,14.558,0,3.798,TRUE,FALSE,6.536,31.706,20.144,14.031,0.086,0.081,FALSE,FALSE,22.27,10.069,10.295,14.241,0.079,0.116,FALSE,FALSE,7.759,2.89,3.051,13.295,0.186,0.188,FALSE,FALSE,-7.02,2.294,2.539,13.186,0.065,0.063,FALSE,FALSE,-29.085,4.762,4.289,13.162,0.084,0.078,FALSE,FALSE,4.636,4.412,4.533,13.6954,0.0250,0.0280,FALSE,FALSE,EWSiII from 1193.
UGC9126,SDSS J141542.90+163413.8,0.742596,1.420,17.76,0.83,0.83,0.180,12486 (PI: Bowen),—,Isolated,9.2,0.2,0.2,-9.58,0.01,0.01,0.19,0.02,0.02,-9.92,0.2,0.2,0.3,0.2,0.2,-0.99,0.05,0.05,8.14,0.18,FALSE,0.96,0.04,2575,129,97,2272,-303,19.814,0.012,0.011,FALSE,FALSE,46.921,3.808,3.787,14.641,0,2.725,TRUE,FALSE,29.632,3.349,1.758,—,—,—,FALSE,FALSE,—,—,—,14.104,0.111,0.182,FALSE,FALSE,34.788,2.131,2.177,—,—,—,FALSE,FALSE,—,—,—,13.339,0.043,0.039,FALSE,FALSE,10.229,3.275,3.09,—,—,—,FALSE,FALSE,
UGC7485,4C21.35,0.43201512,15.168,105.94,0.33,0.33,1.192,13008 (PI: Stocke),—,Isolated,8.9,0.2,0.2,-9.460,0.009,0.008,0.024,0.002,0.002,-10.5,0.2,0.2,1.1,0.2,0.2,-0.72,0.02,0.06,8.29,0.18,FALSE,—,—,1183.0,0.9,1.0,998.3,-184.7,13.219,0.088,0.073,FALSE,FALSE,17.736,9.37,9.495,12.512,0.5,0,FALSE,TRUE,—,—,—,12.297,0.5,0,FALSE,TRUE,—,—,—,12.151,0.5,0,FALSE,TRUE,—,—,—,11.771,0.5,0,FALSE,TRUE,—,—,—,11.971,0.5,0,FALSE,TRUE,—,—,—,12.4686,1,0,FALSE,TRUE,
